ID,COURSEOVERGROUND,EVENTCERTAINTY,LATITUDE,LONGITUDE,POSITIONINTERPOLATED,SPEEDOVERGROUND,VESSEL_ID,Timestamp,DelSpeed,DelHeading,DelTime
132,122.9000015,2,54.52623667,11.25776667,FALSE,2.5,7,1398309158,0,0,0
133,138.3999939,3,56.03308667,12.61722333,TRUE,0,7,1398309174,-2.5,15.4999924,16
134,349,2,56.02765333,12.67500833,FALSE,11.5,8,1398330495,0,0,0
135,348,2,56.02859333,12.67467,FALSE,11.5,8,1398330514,0,-1,19
136,248.6000061,0,57.70192667,11.677185,FALSE,11.19999981,8,1398330538,-0.30000019,-99.3999939,24
137,185.6000061,0,57.70813361,11.70248278,TRUE,0.100000001,8,1398330542,-11.09999981,-63,4
138,246.3000031,0,57.70166333,11.67601167,FALSE,11.30000019,8,1398330551,11.20000019,60.699997,9
139,185.6000061,0,57.70813389,11.70248222,TRUE,0.100000001,8,1398330552,-11.20000019,-60.699997,1
140,348,2,56.03076833,12.67381667,FALSE,11.5,8,1398330555,11.4,162.3999939,3
141,185.6000061,0,57.70813417,11.70248167,TRUE,0.100000001,8,1398330562,-11.4,-162.3999939,7
142,243.6999969,0,57.70137667,11.67485333,FALSE,11.30000019,8,1398330564,11.20000019,58.0999908,2
143,185.6000061,0,57.70813444,11.70248111,TRUE,0.100000001,8,1398330572,-11.20000019,-58.0999908,8
144,225.1999969,0,57.7010919,11.67408235,TRUE,10,8,1398330574,9.899999999,39.5999908,2
145,185.6000061,0,57.70813472,11.70248056,TRUE,0.100000001,8,1398330582,-9.899999999,-39.5999908,8
146,225.1999969,0,57.70080713,11.67331137,TRUE,10,8,1398330584,9.899999999,39.5999908,2
147,347,1,56.03232667,12.673215,FALSE,11.5,8,1398330584,1.5,121.8000031,0
148,185.6000061,0,57.708135,11.70248,FALSE,0.100000001,8,1398330592,-11.4,-161.3999939,8
149,185.6000061,0,57.708135,11.70248,TRUE,0.100000001,8,1398330592,0,0,0
150,225.1999969,0,57.70052236,11.67254038,TRUE,10,8,1398330594,9.899999999,39.5999908,2
151,34.20000076,0,57.70813583,11.70247917,TRUE,0,8,1398330602,-10,-190.9999961,8
152,299,0,54.34498157,9.919253691,TRUE,8.600000381,8,1398330603,8.600000381,264.7999992,1
153,225.1999969,0,57.70023759,11.6717694,TRUE,10,8,1398330604,1.399999619,-73.8000031,1
154,119,0,54.36074034,9.865983091,TRUE,4.300000191,8,1398330607,-5.699999809,-106.1999969,3
155,225.1999969,0,57.70002667,11.67119833,FALSE,10,8,1398330611,5.699999809,106.1999969,4
156,34.20000076,0,57.70813667,11.70247833,TRUE,0,8,1398330612,-10,-190.9999961,1
157,299,0,54.34511549,9.918622143,TRUE,8.600000381,8,1398330613,8.600000381,264.7999992,1
158,349,2,56.03389,12.67265,FALSE,11.60000038,8,1398330615,2.999999999,50,2
159,119,0,54.36067926,9.866460637,TRUE,4.300000191,8,1398330617,-7.300000189,-230,2
160,34.20000076,0,57.7081375,11.7024775,TRUE,0,8,1398330622,-4.300000191,-84.79999924,5
161,299,0,54.34524941,9.917990596,TRUE,8.600000381,8,1398330623,8.600000381,264.7999992,1
162,225.6999969,0,57.69962,11.67042833,FALSE,8.899999619,8,1398330625,0.299999238,-73.3000031,2
163,119,0,54.36061818,9.866938183,TRUE,4.300000191,8,1398330627,-4.599999428,-106.6999969,2
164,34.20000076,0,57.70813833,11.70247667,TRUE,0,8,1398330632,-4.300000191,-84.79999924,5
165,299,0,54.34538333,9.917359048,TRUE,8.600000381,8,1398330633,8.600000381,264.7999992,1
166,246.3000031,0,57.69944505,11.67001,TRUE,3.700000048,8,1398330635,-4.900000333,-52.6999969,2
167,119,0,54.3605571,9.867415729,TRUE,4.300000191,8,1398330637,0.600000143,-127.3000031,2
168,34.20000076,0,57.70813917,11.70247583,TRUE,0,8,1398330642,-4.300000191,-84.79999924,5
169,299,0,54.34551725,9.916727501,TRUE,8.600000381,8,1398330643,8.600000381,264.7999992,1
170,348,2,56.03546333,12.672065,FALSE,11.60000038,8,1398330644,2.999999999,49,1
171,246.3000031,0,57.6992701,11.66959167,TRUE,3.700000048,8,1398330645,-7.900000332,-101.6999969,1
172,119,0,54.36049602,9.867893276,TRUE,4.300000191,8,1398330647,0.600000143,-127.3000031,2
173,34.20000076,0,57.70814,11.702475,FALSE,0,8,1398330652,-4.300000191,-84.79999924,5
174,299,0,54.34565118,9.916095953,TRUE,8.600000381,8,1398330653,8.600000381,264.7999992,1
175,246.3000031,0,57.69909514,11.66917333,TRUE,3.700000048,8,1398330655,-4.900000333,-52.6999969,2
176,119,0,54.36043493,9.868370822,TRUE,4.300000191,8,1398330657,0.600000143,-127.3000031,2
